Dish,Main Course/Starter/Snacks,Veg/Chicken/Other Non Veg,Gravy/Dry
CHOW CHOW BATH,Snacks,Veg,Dry
GOLDEN FRIED PRAWN ,Starter,Other Non Veg,Dry
BANGDA RAVA FRY    ,Starter,Other Non Veg,Dry
TOMATO CURRY       ,Main Course,Veg,Gravy
GREEN PEAS CURRY   ,Main Course,Veg,Gravy
APOLLO FISH,Starter,Other Non Veg,Dry
BANGDA MASALA FRY,Starter,Other Non Veg,Dry
PERI PERI CHICKEN,Starter,Chicken,Dry
PERI PERI FRIES,Snacks,Veg,Dry
CHICKEN KALI MIRCH,Starter,Chicken,Dry
FISH MASALA,Main Course,Other Non Veg,Gravy
VEG AMERICAN CHOPSUEY,Snacks,Veg,Dry
DRAGON PANEER,Starter,Veg,Dry
CHEESY CHICKEN MEATBALLS,Snacks,Chicken,Dry
STUFFED CAPSICUM,Starter,Veg,Dry
EGG PEPPER,Starter,Other Non Veg,Dry
SCHEZWAN PANEER,Starter,Veg,Dry
PANEER PASANDA,Main Course,Veg,Gravy
MUTTON HYDERABADI,Main Course,Other Non Veg,Gravy
AL FAHAM CHICKEN,Starter,Chicken,Dry
DRUMS OF HEAVEN,Starter,Chicken,Dry
EGG MUGHLAI,Main Course,Other Non Veg,Gravy
ALOO CHILLI,Main Course,Veg,Dry
CHICKEN 555,Starter,Chicken,Dry
CRISPY VEG,Starter,Veg,Dry
MUTTON MUGHLAI,Main Course,Other Non Veg,Gravy
MUTTON ROAST,Starter,Other Non Veg,Dry
MUTTON KOLHAPURI,Main Course,Other Non Veg,Gravy
GARLIC FISH,Starter,Other Non Veg,Dry
PUDINA CHICKEN,Starter,Chicken,Dry
VEG PEPPER MASALA,Main Course,Veg,Gravy
CHICKEN PEPPERONI,Starter,Chicken,Dry
VEG DO PYAZA,Main Course,Veg,Gravy
POTHU FRY,Snacks,Other Non Veg,Dry
MUTTON KALI MIRCH,Starter,Other Non Veg,Dry
ALOO FRY,Main Course,Veg,Dry
PUNJABI CHICKEN,Main Course,Chicken,Gravy
X PEPPER DRY,Starter,Other Non Veg,Dry
GOBI PEPPER DRY,Starter,Other Non Veg,Dry
BOTI PEPPER DRY,Starter,Other Non Veg,Dry
PUNJABI PANEER,Main Course,Veg,Gravy
MATHI RAVA FRY,Starter,Other Non Veg,Dry
CHICKEN MOMO,Snacks,Chicken,Dry
PRAWN PEPPER DRY,Snacks,Other Non Veg,Dry
PANEER KOLHAPURI,Main Course,Veg,Gravy
BOTI FRY,Snacks,Other Non Veg,Dry
CHICKEN SUKKA,Snacks,Chicken,Dry
CHICKEN MAJESTIC,Snacks,Chicken,Dry
PRAWN 65,Snacks,Other Non Veg,Dry
KUNG PAO CHICKEN,Snacks,Chicken,Dry
GOLDEN FRIED PRAWN ,Snacks,Other Non Veg,Dry
BANGDA RAVA FRY    ,Snacks,Other Non Veg,Dry
APOLLO FISH,Snacks,Other Non Veg,Dry
BANGDA MASALA FRY,Snacks,Other Non Veg,Dry
PERI PERI CHICKEN,Snacks,Chicken,Dry
VEG AMERICAN CHOPSUEY,Snacks,Veg,Dry
DRAGON PANEER,Snacks,Veg,Dry
STUFFED CAPSICUM,Snacks,Veg,Dry
EGG PEPPER,Snacks,Other Non Veg,Dry
SCHEZWAN PANEER,Snacks,Veg,Dry
AL FAHAM CHICKEN,Snacks,Chicken,Dry
DRUMS OF HEAVEN,Snacks,Chicken,Dry
CHICKEN 555,Snacks,Chicken,Dry
CRISPY VEG,Snacks,Veg,Dry
MUTTON ROAST,Snacks,Other Non Veg,Dry
GARLIC FISH,Snacks,Other Non Veg,Dry
PUDINA CHICKEN,Snacks,Chicken,Dry
CHICKEN PEPPERONI,Snacks,Chicken,Dry
POTHU FRY,Snacks,Other Non Veg,Dry
MUTTON KALI MIRCH,Snacks,Other Non Veg,Dry
X PEPPER DRY,Snacks,Other Non Veg,Dry
GOBI PEPPER DRY,Snacks,Other Non Veg,Dry
BOTI PEPPER DRY,Snacks,Other Non Veg,Dry
MATHI RAVA FRY,Snacks,Other Non Veg,Dry
PRAWN PEPPER DRY,Snacks,Other Non Veg,Dry
